revenueSource,campus,amount,year
Auxiliary Enterprises,Berkeley,147714,2008
Educational Activities,Berkeley,72883,2008
Grants and Contracts,Berkeley,543159,2008
Investment Income,Berkeley,88077,2008
Medical Centers,Berkeley,0,2008
Other Revenues,Berkeley,18463,2008
Private Gifts,Berkeley,150362,2008
State Educational Appropriations,Berkeley,506186,2008
State Financing Appropriations,Berkeley,19059,2008
Student Tuition and Fees,Berkeley,331220,2008
Auxiliary Enterprises,Berkeley,149035,2009
Educational Activities,Berkeley,75061,2009
Grants and Contracts,Berkeley,609845,2009
Investment Income,Berkeley,85872,2009
Medical Centers,Berkeley,0,2009
Other Revenues,Berkeley,20510,2009
Private Gifts,Berkeley,143368,2009
State Educational Appropriations,Berkeley,410948,2009
State Financing Appropriations,Berkeley,19389,2009
Student Tuition and Fees,Berkeley,362099,2009
Auxiliary Enterprises,Berkeley,151841,2010
Educational Activities,Berkeley,70513,2010
Grants and Contracts,Berkeley,703181,2010
Investment Income,Berkeley,76151,2010
Medical Centers,Berkeley,0,2010
Other Revenues,Berkeley,24713,2010
Private Gifts,Berkeley,144872,2010
State Educational Appropriations,Berkeley,474794,2010
State Financing Appropriations,Berkeley,13830,2010
Student Tuition and Fees,Berkeley,411952,2010
Auxiliary Enterprises,Berkeley,151684,2011
Educational Activities,Berkeley,154902,2011
Grants and Contracts,Berkeley,747232,2011
Investment Income,Berkeley,60133,2011
Medical Centers,Berkeley,0,2011
Other Revenues,Berkeley,39771,2011
Private Gifts,Berkeley,183310,2011
State Educational Appropriations,Berkeley,370061,2011
State Financing Appropriations,Berkeley,20678,2011
Student Tuition and Fees,Berkeley,508153,2011
Auxiliary Enterprises,Berkeley,160531,2012
Educational Activities,Berkeley,81485,2012
Grants and Contracts,Berkeley,729713,2012
Investment Income,Berkeley,63610,2012
Medical Centers,Berkeley,0,2012
Other Revenues,Berkeley,34394,2012
Private Gifts,Berkeley,180488,2012
State Educational Appropriations,Berkeley,268992,2012
State Financing Appropriations,Berkeley,19509,2012
Student Tuition and Fees,Berkeley,623967,2012
Auxiliary Enterprises,Davis,93319,2008
Educational Activities,Davis,256986,2008
Grants and Contracts,Davis,535094,2008
Investment Income,Davis,41940,2008
Medical Centers,Davis,1021387,2008
Other Revenues,Davis,29427,2008
Private Gifts,Davis,38364,2008
State Educational Appropriations,Davis,452733,2008
State Financing Appropriations,Davis,21735,2008
Student Tuition and Fees,Davis,246200,2008
Auxiliary Enterprises,Davis,98660,2009
Educational Activities,Davis,259841,2009
Grants and Contracts,Davis,583167,2009
Investment Income,Davis,39028,2009
Medical Centers,Davis,1070110,2009
Other Revenues,Davis,35469,2009
Private Gifts,Davis,40036,2009
State Educational Appropriations,Davis,367552,2009
State Financing Appropriations,Davis,21859,2009
Student Tuition and Fees,Davis,274329,2009
Auxiliary Enterprises,Davis,92727,2010
Educational Activities,Davis,252815,2010
Grants and Contracts,Davis,650423,2010
Investment Income,Davis,33676,2010
Medical Centers,Davis,1106077,2010
Other Revenues,Davis,41845,2010
Private Gifts,Davis,84936,2010
State Educational Appropriations,Davis,434570,2010
State Financing Appropriations,Davis,16576,2010
Student Tuition and Fees,Davis,312234,2010
Auxiliary Enterprises,Davis,88428,2011
Educational Activities,Davis,282032,2011
Grants and Contracts,Davis,699726,2011
Investment Income,Davis,36605,2011
Medical Centers,Davis,1293998,2011
Other Revenues,Davis,53271,2011
Private Gifts,Davis,45565,2011
State Educational Appropriations,Davis,382697,2011
State Financing Appropriations,Davis,29420,2011
Student Tuition and Fees,Davis,362186,2011
Auxiliary Enterprises,Davis,92348,2012
Educational Activities,Davis,292417,2012
Grants and Contracts,Davis,698838,2012
Investment Income,Davis,47846,2012
Medical Centers,Davis,1339712,2012
Other Revenues,Davis,56822,2012
Private Gifts,Davis,52922,2012
State Educational Appropriations,Davis,297493,2012
State Financing Appropriations,Davis,29489,2012
Student Tuition and Fees,Davis,405381,2012
Auxiliary Enterprises,Irvine,158690,2008
Educational Activities,Irvine,136078,2008
Grants and Contracts,Irvine,299291,2008
Investment Income,Irvine,15534,2008
Medical Centers,Irvine,518159,2008
Other Revenues,Irvine,46323,2008
Private Gifts,Irvine,40107,2008
State Educational Appropriations,Irvine,238601,2008
State Financing Appropriations,Irvine,23076,2008
Student Tuition and Fees,Irvine,213423,2008
Auxiliary Enterprises,Irvine,157493,2009
Educational Activities,Irvine,148238,2009
Grants and Contracts,Irvine,333255,2009
Investment Income,Irvine,14559,2009
Medical Centers,Irvine,576013,2009
Other Revenues,Irvine,45815,2009
Private Gifts,Irvine,30128,2009
State Educational Appropriations,Irvine,193709,2009
State Financing Appropriations,Irvine,24108,2009
Student Tuition and Fees,Irvine,231149,2009
Auxiliary Enterprises,Irvine,129933,2010
Educational Activities,Irvine,154302,2010
Grants and Contracts,Irvine,334648,2010
Investment Income,Irvine,13192,2010
Medical Centers,Irvine,605248,2010
Other Revenues,Irvine,50417,2010
Private Gifts,Irvine,34383,2010
State Educational Appropriations,Irvine,222799,2010
State Financing Appropriations,Irvine,28856,2010
Student Tuition and Fees,Irvine,262194,2010
Auxiliary Enterprises,Irvine,128615,2011
Educational Activities,Irvine,172609,2011
Grants and Contracts,Irvine,366830,2011
Investment Income,Irvine,19803,2011
Medical Centers,Irvine,704564,2011
Other Revenues,Irvine,59577,2011
Private Gifts,Irvine,48547,2011
State Educational Appropriations,Irvine,254164,2011
State Financing Appropriations,Irvine,43904,2011
Student Tuition and Fees,Irvine,308406,2011
Auxiliary Enterprises,Irvine,155998,2012
Educational Activities,Irvine,184951,2012
Grants and Contracts,Irvine,367425,2012
Investment Income,Irvine,20235,2012
Medical Centers,Irvine,726952,2012
Other Revenues,Irvine,53775,2012
Private Gifts,Irvine,45477,2012
State Educational Appropriations,Irvine,184547,2012
State Financing Appropriations,Irvine,43674,2012
Student Tuition and Fees,Irvine,369292,2012
Auxiliary Enterprises,Los Angeles,310416,2008
Educational Activities,Los Angeles,538104,2008
Grants and Contracts,Los Angeles,863205,2008
Investment Income,Los Angeles,73962,2008
Medical Centers,Los Angeles,1163429,2008
Other Revenues,Los Angeles,53400,2008
Private Gifts,Los Angeles,170303,2008
State Educational Appropriations,Los Angeles,642755,2008
State Financing Appropriations,Los Angeles,29543,2008
Student Tuition and Fees,Los Angeles,345037,2008
Auxiliary Enterprises,Los Angeles,309881,2009
Educational Activities,Los Angeles,593295,2009
Grants and Contracts,Los Angeles,868850,2009
Investment Income,Los Angeles,76355,2009
Medical Centers,Los Angeles,1395441,2009
Other Revenues,Los Angeles,51638,2009
Private Gifts,Los Angeles,184907,2009
State Educational Appropriations,Los Angeles,521823,2009
State Financing Appropriations,Los Angeles,29730,2009
Student Tuition and Fees,Los Angeles,401513,2009
Auxiliary Enterprises,Los Angeles,300575,2010
Educational Activities,Los Angeles,677478,2010
Grants and Contracts,Los Angeles,969587,2010
Investment Income,Los Angeles,78908,2010
Medical Centers,Los Angeles,1524537,2010
Other Revenues,Los Angeles,52423,2010
Private Gifts,Los Angeles,189790,2010
State Educational Appropriations,Los Angeles,601155,2010
State Financing Appropriations,Los Angeles,22645,2010
Student Tuition and Fees,Los Angeles,445373,2010
Auxiliary Enterprises,Los Angeles,304557,2011
Educational Activities,Los Angeles,769366,2011
Grants and Contracts,Los Angeles,58288,2011
Investment Income,Los Angeles,76089,2011
Medical Centers,Los Angeles,1679483,2011
Other Revenues,Los Angeles,57306,2011
Private Gifts,Los Angeles,195076,2011
State Educational Appropriations,Los Angeles,479790,2011
State Financing Appropriations,Los Angeles,29817,2011
Student Tuition and Fees,Los Angeles,503072,2011
Auxiliary Enterprises,Los Angeles,319139,2012
Educational Activities,Los Angeles,899793,2012
Grants and Contracts,Los Angeles,1005674,2012
Investment Income,Los Angeles,110139,2012
Medical Centers,Los Angeles,1740828,2012
Other Revenues,Los Angeles,94017,2012
Private Gifts,Los Angeles,226020,2012
State Educational Appropriations,Los Angeles,379541,2012
State Financing Appropriations,Los Angeles,29909,2012
Student Tuition and Fees,Los Angeles,578671,2012
Auxiliary Enterprises,Merced,9775,2008
Grants and Contracts,Merced,42372,2008
Investment Income,Merced,1289,2008
Medical Centers,Merced,0,2008
Other Revenues,Merced,1278,2008
Private Gifts,Merced,4054,2008
State Educational Appropriations,Merced,11022,2008
State Financing Appropriations,Merced,16413,2008
Student Tuition and Fees,Merced,15266,2008
Auxiliary Enterprises,Merced,9666,2009
Grants and Contracts,Merced,44244,2009
Investment Income,Merced,1705,2009
Medical Centers,Merced,0,2009
Other Revenues,Merced,1759,2009
Private Gifts,Merced,3075,2009
State Educational Appropriations,Merced,8948,2009
State Financing Appropriations,Merced,16408,2009
Student Tuition and Fees,Merced,11327,2009
Auxiliary Enterprises,Merced,12713,2010
Grants and Contracts,Merced,48046,2010
Investment Income,Merced,1724,2010
Medical Centers,Merced,0,2010
Other Revenues,Merced,1756,2010
Private Gifts,Merced,1528,2010
State Educational Appropriations,Merced,10309,2010
State Financing Appropriations,Merced,16408,2010
Student Tuition and Fees,Merced,22276,2010
Auxiliary Enterprises,Merced,16408,2011
Grants and Contracts,Merced,50805,2011
Investment Income,Merced,2075,2011
Medical Centers,Merced,0,2011
Other Revenues,Merced,1994,2011
Private Gifts,Merced,3435,2011
State Educational Appropriations,Merced,52466,2011
State Financing Appropriations,Merced,16421,2011
Student Tuition and Fees,Merced,37037,2011
Auxiliary Enterprises,Merced,17005,2012
Grants and Contracts,Merced,49837,2012
Investment Income,Merced,2166,2012
Medical Centers,Merced,0,2012
Other Revenues,Merced,4938,2012
Private Gifts,Merced,2364,2012
State Educational Appropriations,Merced,54549,2012
State Financing Appropriations,Merced,16354,2012
Student Tuition and Fees,Merced,47673,2012
Auxiliary Enterprises,Riverside,52679,2008
Educational Activities,Riverside,3250,2008
Grants and Contracts,Riverside,116681,2008
Investment Income,Riverside,5063,2008
Medical Centers,Riverside,0,2008
Other Revenues,Riverside,14975,2008
Private Gifts,Riverside,13564,2008
State Educational Appropriations,Riverside,154223,2008
State Financing Appropriations,Riverside,9326,2008
Student Tuition and Fees,Riverside,124254,2008
Auxiliary Enterprises,Riverside,53998,2009
Educational Activities,Riverside,4116,2009
Grants and Contracts,Riverside,120869,2009
Investment Income,Riverside,4622,2009
Medical Centers,Riverside,0,2009
Other Revenues,Riverside,11300,2009
Private Gifts,Riverside,12543,2009
State Educational Appropriations,Riverside,125206,2009
State Financing Appropriations,Riverside,9524,2009
Student Tuition and Fees,Riverside,136957,2009
Auxiliary Enterprises,Riverside,54390,2010
Educational Activities,Riverside,4686,2010
Grants and Contracts,Riverside,146815,2010
Investment Income,Riverside,3496,2010
Medical Centers,Riverside,0,2010
Other Revenues,Riverside,11824,2010
Private Gifts,Riverside,9314,2010
State Educational Appropriations,Riverside,146727,2010
State Financing Appropriations,Riverside,10169,2010
Student Tuition and Fees,Riverside,160543,2010
Auxiliary Enterprises,Riverside,58032,2011
Educational Activities,Riverside,9423,2011
Grants and Contracts,Riverside,163412,2011
Investment Income,Riverside,7333,2011
Medical Centers,Riverside,0,2011
Other Revenues,Riverside,12388,2011
